Designator,Mid X,Mid Y,Rotation,Layer
D1,95.67,-102.94,90.0,bottom
D3,116.17,-93.56,90.0,bottom
D5,121.88,-112.64,90.0,bottom
D7,143.28,-103.02,90.0,bottom
S1,85.555,-102.145,0.0,top
S2,107.68,-92.655,0.0,top
S3,112.41,-111.675,0.0,top
S4,133.215,-102.145,0.0,top
SW1,71.48,-75.42,0.0,bottom
U1,125.78,-75.18,90.0,bottom
